vehicle_id,driver_id,make,model,year,license_plate,vehicle_type,vehicle_category,capacity,created_at
105,222,Piaggio,Ape,2022,MH84AB7073,UberPool,Auto,2,2022-11-21 23:10:38
106,224,TVS,King,2020,MH91AB6710,UberBlack,Auto,2,2024-11-13 05:50:34
107,226,Piaggio,RE,2015,MH32AB3350,UberX,Auto,4,2025-04-22 08:37:20
108,231,Piaggio,King,2023,MH87AB2212,UberX,Auto,3,2023-10-04 13:51:38
109,232,Piaggio,RE,2022,MH20AB8571,UberX,Auto,3,2023-11-24 01:30:26
110,234,Piaggio,King,2019,MH52AB2620,UberPool,Auto,2,2022-11-01 08:03:45
111,237,Royal Enfield,Pulsar,2023,MH60AB9574,UberX,Bike,2,2023-11-15 03:20:50
112,239,Toyota,Ertiga,2018,MH91AB1486,UberX,Car,5,2023-06-27 23:53:58
113,241,TVS,King,2023,MH24AB2342,UberBlack,Auto,2,2024-10-06 00:39:24
114,242,TVS,Ape,2016,MH45AB6514,UberBlack,Auto,1,2025-08-02 14:11:31
115,243,Honda,Ertiga,2017,MH23AB8295,UberPool,Car,5,2022-08-16 16:31:03
116,244,Hyundai,Innova,2017,MH81AB7966,UberPool,Car,5,2024-09-14 22:09:13
117,245,Toyota,Innova,2016,MH90AB6129,UberBlack,Car,5,2024-02-07 11:41:10
118,246,Bajaj,Ape,2022,MH11AB6216,UberX,Auto,2,2024-02-14 03:39:50
119,247,TVS,RE,2016,MH25AB4950,UberBlack,Auto,1,2023-10-03 18:05:15
120,248,Toyota,i20,2017,MH83AB8771,UberPool,Car,2,2022-09-30 03:14:28
121,249,TVS,King,2016,MH41AB7989,UberX,Auto,5,2024-01-03 23:13:32
122,250,Honda,Innova,2023,MH22AB9229,UberBlack,Car,1,2025-04-10 00:01:43
123,253,Hyundai,Innova,2015,MH27AB5904,UberX,Car,6,2025-04-25 10:43:34
124,256,Bajaj,Classic 350,2016,MH53AB9698,UberPool,Bike,2,2024-02-18 15:23:52
125,258,Tata,WagonR,2017,MH66AB2292,UberX,Car,6,2025-06-09 10:10:14
126,259,Honda,Activa,2021,MH82AB5019,UberX,Bike,2,2025-04-06 07:54:37
127,260,Bajaj,Activa,2015,MH10AB6470,UberBlack,Bike,2,2023-12-12 17:14:21
128,262,Royal Enfield,Splendor,2020,MH91AB5782,UberPool,Bike,2,2024-12-17 04:57:14
129,264,Bajaj,RE,2020,MH59AB7153,UberX,Auto,5,2024-03-10 09:44:22
130,266,Honda,Pulsar,2020,MH54AB2895,UberX,Bike,2,2023-11-21 04:32:09
131,267,TVS,Pulsar,2021,MH96AB1697,UberBlack,Bike,2,2023-09-21 11:42:49
132,270,Honda,Dzire,2022,MH72AB3977,UberPool,Car,1,2023-12-09 18:29:01
133,272,Honda,i20,2021,MH93AB7196,UberPool,Car,1,2023-03-16 17:51:49
134,277,Bajaj,Apache,2017,MH76AB2346,UberPool,Bike,2,2024-04-18 20:09:22
135,278,TVS,Splendor,2021,MH19AB1572,UberX,Bike,2,2023-10-22 14:39:59
136,280,Piaggio,King,2020,MH91AB4354,UberPool,Auto,5,2024-04-04 13:02:02
137,282,TVS,King,2019,MH15AB7116,UberX,Auto,1,2024-02-23 12:50:47
138,283,Honda,i20,2015,MH27AB9034,UberX,Car,1,2022-09-12 01:28:50
139,284,Bajaj,Classic 350,2021,MH36AB7917,UberX,Bike,2,2024-08-12 01:59:43
140,293,Bajaj,King,2019,MH96AB5433,UberPool,Auto,1,2023-04-18 00:28:52
141,295,Piaggio,RE,2020,MH37AB1354,UberBlack,Auto,4,2023-06-22 16:02:20
142,298,Bajaj,King,2022,MH61AB5261,UberBlack,Auto,6,2022-12-24 20:27:57
143,300,Piaggio,Ape,2015,MH82AB3845,UberX,Auto,5,2025-06-08 23:48:49
144,303,TVS,Ape,2023,MH68AB5417,UberPool,Auto,3,2023-08-28 04:20:02
145,306,Toyota,Innova,2023,MH68AB3224,UberPool,Car,1,2023-10-02 19:03:10
146,308,TVS,Pulsar,2015,MH92AB7960,UberBlack,Bike,2,2023-01-19 21:15:04
147,309,Bajaj,RE,2021,MH44AB1575,UberX,Auto,3,2025-03-13 15:44:59
148,311,Honda,i20,2023,MH18AB9310,UberPool,Car,2,2023-01-04 22:55:04
149,314,TVS,King,2020,MH75AB4644,UberBlack,Auto,2,2025-05-19 07:38:11
150,315,Tata,Innova,2022,MH67AB1228,UberPool,Car,1,2024-06-11 08:38:00
151,316,Maruti,i20,2015,MH89AB2846,UberPool,Car,2,2023-03-29 17:18:54
152,317,Piaggio,King,2015,MH33AB9928,UberX,Auto,4,2024-12-25 16:03:33
153,319,Hyundai,Innova,2017,MH15AB5292,UberX,Car,6,2024-10-13 00:17:12
154,321,Toyota,Swift,2015,MH93AB6834,UberPool,Car,4,2023-11-11 04:04:07
155,323,Maruti,Innova,2019,MH18AB1322,UberX,Car,6,2023-10-05 02:21:27
156,324,TVS,Ape,2019,MH22AB4524,UberX,Auto,3,2024-11-18 03:54:51
157,325,Bajaj,Activa,2016,MH17AB8908,UberBlack,Bike,2,2023-07-13 05:07:35
158,326,TVS,RE,2017,MH28AB5539,UberBlack,Auto,4,2024-03-04 02:07:36
159,327,Honda,Ertiga,2023,MH70AB3474,UberBlack,Car,4,2024-09-02 19:15:24
160,331,Honda,Classic 350,2018,MH33AB3907,UberPool,Bike,2,2024-01-09 05:21:41
161,333,Tata,Innova,2017,MH33AB5745,UberX,Car,3,2023-07-13 03:20:54
162,335,Piaggio,Ape,2018,MH32AB7868,UberX,Auto,1,2025-07-22 16:35:12
163,336,Piaggio,RE,2015,MH34AB6004,UberPool,Auto,5,2022-11-15 15:55:44
164,337,Hero,Classic 350,2018,MH16AB8780,UberX,Bike,2,2023-11-13 06:09:12
165,338,Honda,WagonR,2022,MH98AB3782,UberX,Car,2,2024-12-12 00:19:27
166,339,Maruti,i20,2020,MH40AB7404,UberPool,Car,6,2022-08-12 07:25:43
167,340,Maruti,i20,2020,MH35AB7705,UberBlack,Car,5,2024-10-29 12:52:48
168,341,Maruti,Innova,2022,MH70AB6128,UberX,Car,1,2023-01-04 17:00:30
169,342,Tata,Dzire,2017,MH52AB1201,UberX,Car,4,2022-10-23 01:12:33
170,348,Honda,WagonR,2016,MH34AB1567,UberBlack,Car,4,2023-04-10 23:07:47
171,349,Toyota,Swift,2016,MH36AB9856,UberPool,Car,5,2024-04-19 17:39:12
172,356,Honda,WagonR,2016,MH93AB7387,UberPool,Car,2,2023-02-22 12:00:56
173,357,Maruti,Swift,2019,MH50AB5576,UberBlack,Car,4,2023-08-03 12:16:30
174,359,Tata,Swift,2017,MH80AB2120,UberPool,Car,1,2025-04-26 02:26:58
175,360,TVS,Apache,2018,MH62AB1881,UberX,Bike,2,2023-07-28 21:41:03
176,361,Hyundai,Innova,2017,MH33AB6907,UberX,Car,1,2023-06-24 07:50:42
177,363,TVS,RE,2017,MH53AB3966,UberX,Auto,5,2023-03-13 13:33:58
178,365,Hero,Pulsar,2015,MH84AB5449,UberPool,Bike,2,2025-03-23 00:12:31
179,368,TVS,King,2017,MH58AB1370,UberX,Auto,6,2024-04-30 15:47:11
180,370,Tata,Ertiga,2020,MH50AB2546,UberX,Car,2,2022-12-11 22:07:06
181,372,Royal Enfield,Splendor,2022,MH87AB5916,UberBlack,Bike,2,2025-02-11 23:51:17
182,373,Bajaj,Ape,2017,MH44AB6651,UberBlack,Auto,3,2023-08-18 14:57:55
183,374,Piaggio,King,2016,MH58AB1607,UberX,Auto,1,2022-09-05 23:40:31
184,382,Honda,Ertiga,2016,MH50AB9798,UberBlack,Car,1,2022-08-19 06:18:24
185,383,Tata,i20,2021,MH99AB5678,UberBlack,Car,5,2023-02-26 02:58:57
186,385,TVS,King,2022,MH81AB8011,UberBlack,Auto,6,2022-10-10 12:57:37
187,386,Bajaj,Pulsar,2022,MH58AB1963,UberX,Bike,2,2024-06-27 14:36:09
188,391,Piaggio,King,2019,MH68AB5240,UberX,Auto,5,2025-03-14 15:47:30
189,394,Bajaj,King,2023,MH21AB2794,UberBlack,Auto,1,2022-08-18 22:41:30
190,396,TVS,Activa,2017,MH20AB8162,UberPool,Bike,2,2024-03-29 22:01:53
191,397,Maruti,WagonR,2023,MH35AB7439,UberBlack,Car,6,2023-11-04 03:11:27
192,398,Bajaj,RE,2020,MH39AB5564,UberBlack,Auto,3,2024-06-27 15:25:55
193,401,TVS,King,2022,MH15AB9260,UberX,Auto,1,2023-06-23 05:36:15
194,402,Honda,i20,2021,MH50AB5494,UberPool,Car,2,2025-02-28 21:04:20
195,406,Maruti,Dzire,2016,MH31AB4265,UberBlack,Car,6,2023-12-13 03:04:44
196,407,Bajaj,Splendor,2020,MH52AB1024,UberX,Bike,2,2024-11-03 23:02:19
197,409,Maruti,Swift,2015,MH12AB9987,UberBlack,Car,4,2022-09-29 21:17:37
198,411,Hyundai,Ertiga,2021,MH68AB4920,UberBlack,Car,1,2022-09-10 15:54:11
199,412,Bajaj,RE,2023,MH76AB2474,UberX,Auto,3,2024-11-27 17:05:12
200,414,Tata,Swift,2015,MH84AB2512,UberPool,Car,5,2025-07-01 07:13:41
201,415,Piaggio,RE,2018,MH27AB9101,UberX,Auto,4,2023-01-05 20:22:39
202,416,Piaggio,Ape,2023,MH83AB8533,UberBlack,Auto,6,2024-08-11 21:57:36
203,419,Bajaj,King,2015,MH79AB6518,UberPool,Auto,5,2023-09-19 21:18:20
204,422,Honda,WagonR,2022,MH43AB7365,UberX,Car,1,2023-11-22 09:23:19
205,424,Maruti,i20,2023,MH45AB4590,UberX,Car,4,2022-11-23 05:37:25
206,425,Maruti,Ertiga,2018,MH67AB2351,UberX,Car,5,2022-12-24 00:18:12
207,428,Hyundai,Swift,2023,MH92AB7051,UberBlack,Car,3,2024-07-29 18:50:42
208,431,Honda,Pulsar,2019,MH29AB1297,UberX,Bike,2,2022-10-08 22:06:09
209,433,TVS,Ape,2015,MH18AB6947,UberX,Auto,3,2024-07-30 07:21:34
210,435,Hyundai,WagonR,2021,MH13AB8315,UberPool,Car,4,2023-04-05 22:08:05
211,437,Piaggio,Ape,2019,MH46AB5478,UberPool,Auto,4,2023-08-14 22:32:47
212,438,Bajaj,Splendor,2016,MH17AB3260,UberPool,Bike,2,2022-09-11 00:03:16
213,439,Piaggio,RE,2017,MH79AB2500,UberBlack,Auto,5,2024-11-24 05:51:28
214,444,Toyota,Ertiga,2018,MH75AB8319,UberBlack,Car,3,2025-02-16 13:58:34
215,445,Toyota,WagonR,2017,MH14AB9697,UberPool,Car,5,2023-11-06 15:07:38
216,446,Tata,Innova,2020,MH27AB8660,UberX,Car,3,2024-04-22 06:23:45
217,447,Bajaj,King,2019,MH30AB4641,UberPool,Auto,4,2024-04-26 10:09:43
218,448,Maruti,Innova,2016,MH30AB2551,UberBlack,Car,2,2024-06-14 00:40:16
219,449,Piaggio,King,2016,MH80AB2903,UberBlack,Auto,4,2023-04-05 05:42:02
220,450,Toyota,Ertiga,2020,MH54AB1293,UberPool,Car,6,2025-03-25 16:05:36
221,451,Hero,Splendor,2015,MH69AB3832,UberX,Bike,2,2024-10-10 20:17:31
222,452,Hyundai,WagonR,2021,MH13AB1881,UberX,Car,2,2022-11-26 06:44:00
223,453,Bajaj,Ape,2017,MH68AB2419,UberX,Auto,1,2025-02-02 17:04:08
224,455,Piaggio,RE,2018,MH26AB7999,UberX,Auto,3,2025-02-13 00:10:15
225,456,Toyota,Swift,2019,MH78AB7131,UberX,Car,4,2024-07-21 18:58:09
226,457,TVS,King,2020,MH38AB5236,UberPool,Auto,4,2024-10-07 18:34:22
227,458,Bajaj,King,2017,MH28AB8205,UberPool,Auto,2,2024-10-19 10:14:28
228,461,TVS,King,2015,MH23AB2443,UberPool,Auto,2,2023-05-25 22:57:54
229,462,Hyundai,WagonR,2018,MH49AB9057,UberX,Car,3,2024-01-24 15:06:12
230,463,Hyundai,i20,2021,MH20AB9047,UberPool,Car,5,2024-10-05 13:16:23
231,466,Toyota,Innova,2016,MH96AB3067,UberPool,Car,6,2025-04-25 16:19:01
232,467,Tata,WagonR,2015,MH75AB7422,UberPool,Car,6,2023-10-05 16:17:33
233,469,TVS,Classic 350,2017,MH26AB5522,UberX,Bike,2,2023-05-29 23:04:54
234,470,TVS,King,2023,MH66AB9366,UberPool,Auto,5,2023-10-07 07:41:48
235,474,Royal Enfield,Classic 350,2016,MH94AB3615,UberBlack,Bike,2,2025-04-15 21:41:59
236,478,Toyota,Innova,2015,MH14AB7763,UberX,Car,5,2022-12-27 16:33:01
237,479,Honda,Activa,2022,MH48AB3385,UberX,Bike,2,2024-08-03 17:46:16
238,480,Hyundai,Innova,2018,MH49AB1878,UberPool,Car,6,2024-06-08 01:44:31
239,482,Royal Enfield,Activa,2017,MH24AB3470,UberX,Bike,2,2024-01-20 19:17:13
240,485,Royal Enfield,Apache,2020,MH30AB6847,UberPool,Bike,2,2022-11-09 22:33:58
241,486,Bajaj,RE,2021,MH94AB5528,UberPool,Auto,6,2023-08-21 14:58:49
242,488,Maruti,Swift,2022,MH35AB9957,UberBlack,Car,1,2024-06-03 07:25:54
243,489,Bajaj,King,2018,MH10AB8029,UberX,Auto,3,2022-08-29 16:39:02
244,491,Hyundai,Ertiga,2019,MH74AB9236,UberX,Car,6,2023-04-20 05:16:11
245,493,Honda,i20,2019,MH85AB7877,UberBlack,Car,1,2025-02-22 08:17:18
246,494,Royal Enfield,Apache,2015,MH54AB2611,UberX,Bike,2,2022-12-07 23:40:33
247,495,Toyota,Swift,2017,MH57AB6095,UberX,Car,6,2025-02-27 19:42:23
248,496,TVS,RE,2017,MH41AB1480,UberX,Auto,6,2023-07-06 00:25:02
249,497,Hero,Apache,2023,MH64AB1068,UberX,Bike,2,2022-09-07 10:38:50
250,499,Bajaj,Splendor,2023,MH59AB1866,UberX,Bike,2,2024-01-28 14:20:24
251,500,Toyota,Swift,2018,MH23AB8319,UberBlack,Car,5,2025-06-17 22:29:03
252,501,Piaggio,RE,2016,MH21AB5522,UberX,Auto,1,2023-02-09 08:17:28
253,503,Hyundai,WagonR,2016,MH40AB2752,UberBlack,Car,4,2023-04-02 10:19:40
254,505,Bajaj,Ape,2022,MH93AB7798,UberX,Auto,6,2024-07-28 15:59:54
255,507,Tata,Dzire,2020,MH97AB1834,UberBlack,Car,5,2022-11-13 17:31:58
256,511,Hero,Activa,2019,MH91AB8645,UberBlack,Bike,2,2025-02-24 23:35:34
257,512,TVS,Splendor,2016,MH19AB4375,UberPool,Bike,2,2024-11-05 14:18:47
258,514,Bajaj,Apache,2023,MH31AB2955,UberX,Bike,2,2022-12-04 04:06:37
259,517,Bajaj,Activa,2023,MH96AB8268,UberBlack,Bike,2,2022-11-06 08:09:22
260,518,Bajaj,King,2017,MH69AB1921,UberBlack,Auto,2,2025-01-30 16:10:39
261,519,Hero,Classic 350,2016,MH64AB1450,UberBlack,Bike,2,2024-10-13 14:01:59
262,520,Piaggio,RE,2022,MH29AB3126,UberX,Auto,6,2023-09-16 23:59:33
263,524,Piaggio,Ape,2021,MH42AB8882,UberPool,Auto,1,2023-09-20 08:46:27
264,525,Bajaj,King,2020,MH39AB1660,UberPool,Auto,4,2024-04-28 21:15:18
265,526,Bajaj,RE,2017,MH46AB9962,UberX,Auto,6,2023-12-11 04:59:08
266,528,Piaggio,Ape,2020,MH55AB8627,UberBlack,Auto,1,2023-03-03 04:58:25
267,529,Toyota,Ertiga,2019,MH95AB5803,UberX,Car,2,2023-11-20 13:43:39
268,531,Tata,Dzire,2017,MH25AB7401,UberBlack,Car,1,2025-04-15 01:28:22
269,532,Honda,Classic 350,2023,MH55AB8469,UberPool,Bike,2,2024-11-03 05:41:32
270,534,Royal Enfield,Splendor,2021,MH66AB6841,UberX,Bike,2,2024-12-21 14:45:07
271,535,Honda,Splendor,2018,MH83AB6974,UberBlack,Bike,2,2023-02-26 10:59:11
272,538,Bajaj,RE,2020,MH17AB2891,UberPool,Auto,3,2024-05-28 19:58:05
273,541,Tata,Swift,2015,MH71AB1158,UberX,Car,2,2024-02-06 15:48:06
274,542,Hero,Activa,2019,MH30AB5621,UberX,Bike,2,2023-03-02 08:19:55
275,545,Piaggio,Ape,2016,MH89AB9817,UberX,Auto,5,2023-06-12 19:02:17
276,548,Hyundai,i20,2019,MH74AB2080,UberX,Car,1,2023-10-14 06:00:23
277,549,Hyundai,Swift,2021,MH86AB2222,UberX,Car,3,2023-07-03 05:02:57
278,550,Maruti,Dzire,2016,MH57AB2167,UberPool,Car,4,2022-11-03 10:52:48
279,551,TVS,Ape,2023,MH59AB5764,UberPool,Auto,6,2023-11-24 11:24:14
280,552,Toyota,Ertiga,2020,MH39AB6076,UberBlack,Car,1,2022-10-10 21:07:23
281,554,Maruti,Innova,2015,MH25AB5524,UberPool,Car,4,2024-03-25 09:41:40
282,557,Bajaj,Classic 350,2023,MH84AB7954,UberX,Bike,2,2023-07-11 23:45:59
283,562,Royal Enfield,Pulsar,2023,MH53AB6258,UberBlack,Bike,2,2023-02-19 03:59:16
284,565,Toyota,i20,2016,MH67AB9072,UberPool,Car,1,2024-01-27 12:10:31
285,568,Toyota,i20,2020,MH82AB9155,UberBlack,Car,1,2025-06-19 17:35:56
286,569,TVS,Apache,2017,MH58AB1747,UberBlack,Bike,2,2023-03-18 06:56:24
287,572,TVS,RE,2018,MH59AB1309,UberX,Auto,3,2024-12-28 02:37:25
288,574,Royal Enfield,Apache,2019,MH64AB8578,UberPool,Bike,2,2024-03-03 01:39:25
289,575,Maruti,Innova,2016,MH66AB2667,UberX,Car,4,2024-03-24 17:29:19
290,578,Maruti,i20,2022,MH25AB6925,UberPool,Car,3,2025-02-10 19:33:49
291,580,TVS,Ape,2018,MH71AB2002,UberX,Auto,1,2022-12-16 18:39:28
