payment_id,trip_id,amount,payment_method,payment_status,payment_date
226,226,405.47,PayPal,Completed,2025-01-15 00:47:20
227,227,185.05,PayPal,Completed,2024-11-09 17:15:25
228,228,68.61,Paytm,Completed,2025-04-28 13:53:29
229,229,737.15,Cash,Completed,2024-06-27 06:33:00
230,230,427.36,PayPal,Pending,2024-02-24 14:05:48
231,231,198.12,Credit Card,Pending,2024-07-28 15:30:12
232,232,235.07,UPI,Completed,2024-08-18 23:03:10
233,233,350.7,Paytm,Completed,2023-10-09 23:48:41
234,234,616.15,UPI,Completed,2024-06-14 05:56:37
235,235,385.14,PayPal,Pending,2025-07-26 14:07:20
236,236,462.34,Paytm,Completed,2024-04-15 22:49:58
237,237,765.95,Credit Card,Completed,2024-01-15 01:44:28
238,238,281.13,Cash,Completed,2024-05-02 14:17:18
239,239,156.3,UPI,Completed,2024-03-07 18:19:38
240,240,144.03,Cash,Completed,2024-02-07 13:17:10
241,241,190.62,Paytm,Completed,2025-04-17 18:04:00
242,242,432.25,UPI,Completed,2024-02-16 18:42:04
243,243,435.37,Cash,Completed,2024-07-10 06:02:35
244,244,511.29,UPI,Completed,2024-11-10 04:22:15
245,245,530.74,Paytm,Pending,2024-11-17 17:24:14
246,246,517.32,Cash,Completed,2025-01-09 17:45:21
247,247,458.54,Credit Card,Completed,2024-03-30 19:55:45
248,248,778.02,UPI,Completed,2025-02-11 06:13:12
249,249,102.45,Credit Card,Completed,2024-09-14 13:10:04
250,250,733.33,PayPal,Completed,2023-08-17 14:07:57
251,251,601.94,UPI,Completed,2024-04-14 19:05:22
252,252,401.56,Paytm,Completed,2025-07-19 19:07:46
253,253,570.67,PayPal,Completed,2024-08-17 01:49:50
254,254,642.05,Cash,Completed,2023-09-23 06:52:02
255,255,574.05,Cash,Completed,2025-06-22 15:54:35
256,256,168.0,UPI,Completed,2024-09-08 05:04:20
257,257,526.11,Paytm,Completed,2023-10-12 00:37:18
258,258,564.72,Paytm,Pending,2025-07-26 12:28:59
259,259,98.44,Cash,Completed,2024-10-12 09:01:41
260,260,155.92,UPI,Completed,2024-08-26 23:36:24
261,261,741.57,Credit Card,Completed,2024-09-14 08:46:04
262,262,378.51,Credit Card,Completed,2025-07-24 08:48:12
263,263,89.6,Credit Card,Completed,2023-10-07 18:09:43
264,264,715.13,Credit Card,Completed,2025-05-16 10:48:17
265,265,493.93,Paytm,Completed,2024-08-15 10:21:27
266,266,758.33,Cash,Completed,2024-07-26 20:28:21
267,267,412.08,Credit Card,Completed,2023-09-01 20:15:01
268,268,250.81,Credit Card,Completed,2024-11-17 05:17:32
269,269,651.86,UPI,Completed,2024-08-14 23:43:53
270,270,357.91,UPI,Completed,2024-06-05 16:24:46
271,271,674.04,Credit Card,Completed,2024-01-02 03:25:58
272,272,444.24,PayPal,Completed,2023-12-28 08:25:08
273,273,717.5,Cash,Completed,2024-11-22 22:26:18
274,274,771.38,UPI,Completed,2025-02-16 21:08:23
275,275,662.71,Paytm,Completed,2023-11-29 04:06:16
276,276,466.06,Paytm,Completed,2024-01-14 20:36:48
277,277,199.07,PayPal,Completed,2024-07-16 08:42:18
278,278,405.74,Paytm,Completed,2024-01-01 13:03:44
279,279,578.23,Paytm,Completed,2023-11-17 02:19:30
280,280,620.18,Paytm,Completed,2025-04-17 09:14:47
281,281,215.8,Credit Card,Completed,2024-01-12 03:02:24
282,282,590.07,PayPal,Completed,2024-05-03 00:37:30
283,283,198.58,PayPal,Completed,2023-11-03 10:35:39
284,284,577.13,UPI,Completed,2025-06-18 11:01:01
285,285,646.94,Paytm,Completed,2024-03-16 02:04:34
286,286,450.92,PayPal,Completed,2025-04-01 09:31:43
287,287,379.95,PayPal,Completed,2023-12-04 14:34:29
288,288,164.54,UPI,Completed,2025-03-01 00:20:57
289,289,601.71,UPI,Completed,2024-01-30 06:36:21
290,290,791.49,UPI,Completed,2025-03-07 21:31:55
291,291,211.6,Cash,Completed,2025-02-05 02:15:25
292,292,570.38,Cash,Completed,2025-02-13 16:55:48
293,293,125.63,Credit Card,Completed,2024-04-10 22:53:11
294,294,155.26,Credit Card,Completed,2025-04-10 07:30:19
295,295,477.26,Paytm,Completed,2025-03-31 15:38:04
296,296,308.9,PayPal,Completed,2025-07-17 13:14:26
297,297,434.95,Cash,Completed,2024-03-25 01:09:29
298,298,664.34,UPI,Completed,2024-03-21 13:48:22
299,299,669.64,UPI,Completed,2025-01-24 06:46:42
300,300,57.2,PayPal,Completed,2024-02-11 07:18:39
301,301,546.04,Paytm,Completed,2023-12-26 02:53:28
302,302,387.58,PayPal,Completed,2024-03-15 15:43:44
303,303,601.59,UPI,Completed,2023-08-14 04:29:04
304,304,623.78,Credit Card,Completed,2024-09-13 18:57:22
305,305,732.04,Cash,Completed,2025-01-21 14:35:27
306,306,288.71,PayPal,Completed,2024-06-10 01:57:52
307,307,690.96,Cash,Completed,2024-02-10 21:11:24
308,308,243.37,PayPal,Completed,2023-11-20 02:08:31
309,309,749.01,Paytm,Completed,2024-09-09 15:04:18
310,310,544.45,UPI,Completed,2024-01-08 06:18:44
311,311,740.11,Paytm,Completed,2023-10-21 17:35:14
312,312,230.57,Cash,Completed,2024-07-08 01:30:44
313,313,751.71,Credit Card,Pending,2024-10-03 10:55:32
314,314,745.24,UPI,Pending,2025-03-10 23:46:58
315,315,58.63,Paytm,Completed,2023-12-04 13:00:42
316,316,782.4,Paytm,Pending,2025-01-12 14:41:18
317,317,415.38,Cash,Completed,2024-05-28 20:40:31
318,318,508.13,PayPal,Completed,2024-10-04 12:37:44
319,319,399.03,Credit Card,Completed,2024-09-20 13:38:29
320,320,411.83,Cash,Completed,2025-03-02 22:40:40
321,321,309.84,PayPal,Completed,2023-12-19 22:26:58
322,322,308.29,Paytm,Completed,2024-08-07 10:35:58
323,323,166.07,Cash,Completed,2025-03-27 01:51:03
324,324,575.4,Credit Card,Failed,2023-08-07 03:49:05
325,325,53.61,Credit Card,Completed,2025-04-18 11:03:09
326,326,718.38,Cash,Completed,2024-09-07 08:12:06
327,327,203.38,PayPal,Completed,2024-06-18 03:00:31
328,328,431.22,Cash,Pending,2025-07-11 23:48:23
329,329,304.07,Paytm,Completed,2025-01-03 13:55:29
330,330,153.16,PayPal,Completed,2025-05-01 05:59:02
331,331,158.29,Credit Card,Pending,2024-12-21 22:04:22
332,332,447.72,PayPal,Completed,2024-05-15 14:14:47
333,333,383.71,UPI,Completed,2025-07-23 20:12:39
334,334,452.66,Cash,Completed,2023-09-06 21:09:52
335,335,552.41,Credit Card,Completed,2025-02-22 13:34:49
336,336,403.0,Credit Card,Completed,2023-12-09 22:22:17
337,337,448.45,Cash,Completed,2023-09-27 00:50:35
338,338,557.49,PayPal,Pending,2025-02-24 03:42:05
339,339,370.41,PayPal,Completed,2025-02-16 15:34:42
340,340,475.0,Cash,Completed,2024-01-22 22:21:13
341,341,281.18,Credit Card,Completed,2024-06-28 07:01:31
342,342,588.7,Cash,Completed,2023-09-12 06:05:15
343,343,154.68,Credit Card,Completed,2024-08-29 06:19:25
344,344,94.9,UPI,Completed,2023-09-06 13:02:46
345,345,319.93,Cash,Completed,2024-06-01 18:13:36
346,346,101.22,Paytm,Completed,2023-09-09 17:07:52
347,347,517.76,PayPal,Completed,2024-10-14 18:18:09
348,348,204.74,UPI,Completed,2025-06-19 23:58:24
349,349,130.27,Paytm,Completed,2024-01-25 14:01:38
350,350,310.77,PayPal,Pending,2025-04-29 15:49:17
351,351,400.53,PayPal,Completed,2024-12-10 15:36:32
352,352,721.78,UPI,Completed,2023-10-05 07:24:34
353,353,156.73,Cash,Completed,2025-02-24 15:49:14
354,354,489.43,Paytm,Completed,2025-02-03 04:35:09
355,355,768.17,UPI,Completed,2024-08-08 19:21:11
356,356,432.22,Credit Card,Completed,2024-03-03 03:11:20
357,357,50.92,Credit Card,Completed,2024-12-12 00:37:45
358,358,168.82,PayPal,Completed,2025-01-12 23:16:24
359,359,369.62,Paytm,Completed,2023-11-19 20:09:23
360,360,213.7,Cash,Completed,2025-04-19 10:00:56
361,361,227.09,Cash,Completed,2024-08-16 01:15:34
362,362,364.67,Cash,Pending,2024-02-22 20:28:37
363,363,426.37,Paytm,Completed,2024-03-13 23:17:31
364,364,133.3,Paytm,Completed,2024-09-20 09:24:39
365,365,240.24,Cash,Completed,2025-06-08 06:45:28
366,366,127.33,UPI,Completed,2024-11-08 17:18:41
367,367,147.89,Credit Card,Completed,2024-11-09 09:57:10
368,368,446.24,UPI,Completed,2024-10-05 22:48:12
369,369,559.47,Credit Card,Completed,2024-09-28 02:46:24
370,370,418.16,Paytm,Completed,2023-11-05 23:29:02
371,371,660.57,Cash,Failed,2024-05-27 18:10:29
372,372,81.39,Paytm,Completed,2025-03-05 04:02:15
373,373,663.01,PayPal,Completed,2025-02-03 23:51:35
374,374,641.16,UPI,Completed,2024-10-12 23:08:56
375,375,80.07,Credit Card,Completed,2025-01-23 23:12:51
376,376,226.28,Paytm,Completed,2024-10-06 23:38:21
377,377,337.23,Credit Card,Completed,2024-02-04 15:36:53
378,378,656.64,Paytm,Completed,2024-12-23 20:04:54
379,379,642.91,Cash,Completed,2024-03-29 14:29:11
380,380,187.11,Paytm,Completed,2024-08-28 16:59:56
381,381,61.71,PayPal,Completed,2025-05-30 02:14:34
382,382,545.78,Paytm,Completed,2025-02-08 23:43:05
383,383,361.76,Cash,Completed,2024-03-20 02:19:03
384,384,585.71,UPI,Completed,2023-12-14 18:49:49
385,385,193.52,Cash,Pending,2024-06-24 11:38:57
386,386,769.12,Credit Card,Completed,2023-12-24 21:35:25
387,387,635.3,Paytm,Pending,2025-02-26 05:22:11
388,388,306.73,Credit Card,Completed,2024-05-20 22:00:26
389,389,76.8,Paytm,Completed,2025-02-13 21:49:54
390,390,614.12,PayPal,Completed,2023-08-21 09:25:28
391,391,146.3,PayPal,Completed,2024-03-19 19:37:35
392,392,313.24,UPI,Completed,2023-10-04 07:49:05
393,393,760.2,Credit Card,Completed,2023-11-10 08:15:34
394,394,548.97,UPI,Completed,2024-10-13 21:09:57
395,395,456.26,Cash,Completed,2024-04-13 09:04:29
396,396,512.1,UPI,Completed,2025-04-23 19:49:47
397,397,237.2,PayPal,Completed,2025-04-30 04:02:45
398,398,642.45,Credit Card,Completed,2025-06-05 08:43:56
399,399,173.77,UPI,Completed,2024-05-13 02:44:40
400,400,275.51,Paytm,Completed,2024-06-11 17:22:34
401,401,664.89,PayPal,Completed,2024-05-01 23:27:55
402,402,278.17,Cash,Completed,2024-08-10 15:19:06
403,403,134.66,UPI,Completed,2024-07-02 23:05:20
404,404,564.53,Cash,Completed,2023-10-23 03:16:20
405,405,648.94,UPI,Failed,2023-08-23 10:31:10
406,406,303.75,PayPal,Completed,2024-10-07 22:26:34
407,407,326.18,UPI,Completed,2025-06-29 21:54:28
408,408,682.11,UPI,Completed,2023-12-09 21:28:05
409,409,751.84,Paytm,Completed,2024-09-12 22:36:11
410,410,754.15,UPI,Completed,2025-05-01 06:39:51
411,411,219.43,Paytm,Pending,2024-09-10 07:52:10
412,412,289.51,Cash,Completed,2024-02-04 09:55:25
413,413,71.2,Credit Card,Completed,2024-02-22 20:08:15
414,414,63.82,Credit Card,Completed,2024-07-03 11:14:48
415,415,468.93,UPI,Completed,2024-10-20 17:14:44
416,416,533.83,Paytm,Completed,2023-09-13 13:01:43
417,417,717.12,UPI,Completed,2024-11-17 09:31:36
418,418,620.14,PayPal,Completed,2023-08-06 02:22:08
419,419,606.6,Paytm,Completed,2024-05-24 00:16:03
420,420,716.0,PayPal,Completed,2025-06-16 02:57:40
421,421,151.71,Credit Card,Completed,2024-11-17 09:06:01
422,422,555.54,UPI,Completed,2024-04-29 15:25:47
423,423,600.0,Paytm,Completed,2024-04-14 22:59:34
424,424,411.8,Credit Card,Completed,2024-02-16 13:47:59
425,425,443.36,UPI,Completed,2024-05-08 04:12:40
426,426,629.25,UPI,Completed,2024-12-27 10:40:47
427,427,386.6,Paytm,Completed,2024-05-30 10:05:34
428,428,166.56,Credit Card,Completed,2025-03-08 06:30:12
429,429,648.62,PayPal,Completed,2025-03-26 20:18:41
430,430,542.42,PayPal,Completed,2024-01-07 21:55:32
431,431,453.11,Cash,Completed,2025-05-01 18:54:03
432,432,145.55,PayPal,Completed,2024-01-03 06:37:55
433,433,669.98,PayPal,Completed,2024-04-10 04:37:36
434,434,133.85,Cash,Completed,2023-12-02 08:49:40
435,435,201.53,Cash,Completed,2024-04-14 17:12:10
436,436,571.95,Paytm,Completed,2025-07-15 11:54:35
437,437,469.73,UPI,Completed,2023-12-25 04:43:26
438,438,96.4,PayPal,Pending,2024-06-27 12:37:41
439,439,586.86,Credit Card,Failed,2023-10-03 02:43:46
440,440,750.3,Credit Card,Completed,2024-04-07 21:48:14
441,441,76.21,Paytm,Completed,2024-10-26 22:20:47
442,442,724.35,PayPal,Completed,2024-10-04 08:32:36
443,443,654.93,Credit Card,Completed,2025-03-04 12:18:49
444,444,645.36,Paytm,Pending,2023-12-28 10:19:24
445,445,199.86,Credit Card,Completed,2024-05-27 12:44:24
446,446,206.59,PayPal,Completed,2024-09-07 18:26:27
447,447,223.25,Credit Card,Completed,2025-07-21 23:47:18
448,448,124.31,Credit Card,Completed,2023-10-19 01:29:00
449,449,628.16,Paytm,Completed,2025-01-22 22:28:16
450,450,772.6,UPI,Completed,2023-09-15 08:19:15
451,451,583.34,Credit Card,Completed,2025-07-30 21:10:39
452,452,75.9,UPI,Failed,2024-04-07 22:14:13
453,453,583.49,Credit Card,Completed,2024-12-16 11:55:29
454,454,795.36,UPI,Pending,2025-06-17 23:44:52
455,455,797.56,UPI,Completed,2025-07-10 01:42:47
456,456,783.96,PayPal,Pending,2024-07-01 13:48:54
457,457,703.22,PayPal,Completed,2023-11-17 14:28:55
458,458,420.4,Paytm,Completed,2024-04-26 07:48:24
459,459,657.3,PayPal,Completed,2023-09-09 10:41:23
460,460,142.15,UPI,Pending,2024-07-03 09:51:51
461,461,693.69,PayPal,Completed,2024-05-23 16:23:30
462,462,127.65,Paytm,Completed,2024-10-04 04:23:07
463,463,179.9,Paytm,Completed,2023-09-06 13:52:47
464,464,147.63,Credit Card,Completed,2024-01-03 08:09:13
465,465,213.28,Credit Card,Completed,2024-12-07 15:51:58
466,466,434.33,Cash,Completed,2024-05-31 19:39:51
467,467,407.61,Paytm,Completed,2025-07-12 15:23:35
