trip_id,user_id,driver_id,start_location_id,end_location_id,start_time,end_time,trip_type,fare,distance_km,rating,status
34,1148,86,9047,2546,2024-08-26 13:05:53,2024-08-26 13:10:53,UberPool,726.26,3.01,4.45,Completed
35,2052,8985,9707,3532,2025-07-20 19:37:34,2025-07-20 20:19:34,UberX,523.55,10.06,4.35,Completed
36,3607,9413,9160,1734,2024-10-11 17:53:20,2024-10-11 18:37:20,UberBlack,450.71,3.44,4.12,Completed
37,1260,8535,7625,5932,2025-03-01 20:20:54,2025-03-01 20:54:54,UberX,365.74,2.95,3.55,Completed
38,5244,7113,2051,2067,2024-01-13 21:38:28,2024-01-13 22:09:28,UberBlack,148.38,15.87,4.0,Completed
39,2738,3690,8362,1759,2023-09-29 13:08:21,2023-09-29 13:38:21,UberPool,704.23,16.08,3.62,Cancelled
40,1321,3308,3379,1368,2025-04-11 20:32:23,2025-04-11 21:16:23,UberPool,625.81,18.12,4.35,Completed
41,2287,5322,8011,6992,2023-11-11 03:30:02,2023-11-11 03:46:02,UberPool,637.56,7.51,3.87,Completed
42,1072,6027,1521,8498,2024-01-28 20:02:33,2024-01-28 20:15:33,UberPool,290.37,12.89,4.01,Completed
43,1852,9752,7468,2778,2025-04-27 12:05:15,2025-04-27 12:40:15,UberPool,121.73,5.78,4.54,Completed
44,1567,8741,3199,4708,2024-03-06 16:38:09,2024-03-06 16:50:09,UberPool,225.71,1.45,3.8,Completed
45,5102,7668,9712,6813,2023-11-27 08:38:08,2023-11-27 09:23:08,UberPool,770.9,7.19,3.95,Completed
46,5175,6922,4991,4145,2024-11-24 16:17:00,2024-11-24 16:56:00,UberBlack,156.81,17.1,4.78,Completed
47,2893,9087,1733,2083,2025-01-16 20:52:15,2025-01-16 21:18:15,UberBlack,729.12,11.32,4.23,Completed
48,5794,641,952,3571,2025-05-03 10:32:44,2025-05-03 10:41:44,UberX,305.33,6.9,4.5,Completed
49,6907,8906,5296,6851,2024-12-12 00:19:25,2024-12-12 01:03:25,UberPool,471.99,14.1,3.83,Completed
50,4817,4368,7854,8061,2024-11-20 06:04:10,2024-11-20 06:14:10,UberX,221.35,4.14,4.62,Completed
51,4096,8441,4320,1430,2023-12-11 14:08:32,2023-12-11 14:14:32,UberPool,367.95,16.71,3.7,Completed
52,6984,7223,6266,6008,2024-05-29 18:41:49,2024-05-29 19:12:49,UberBlack,623.33,15.69,4.82,Completed
53,3893,801,9944,3820,2024-02-19 08:55:12,2024-02-19 09:13:12,UberPool,784.22,17.24,4.23,Completed
54,556,1504,9154,4128,2025-06-12 00:48:15,2025-06-12 01:05:15,UberX,489.06,15.24,4.64,Completed
55,184,886,3570,4512,2024-08-11 10:50:55,2024-08-11 10:57:55,UberX,516.7,7.37,4.63,Completed
56,8021,1794,3246,2216,2024-05-30 01:28:49,2024-05-30 01:36:49,UberBlack,208.37,1.2,4.1,Completed
57,5933,7047,1581,8218,2024-12-21 08:59:21,2024-12-21 09:21:21,UberBlack,406.17,10.47,4.86,Completed
58,9049,8564,8389,4990,2024-11-19 02:06:35,2024-11-19 02:33:35,UberBlack,690.16,14.39,4.24,Completed
59,7712,5788,9519,7817,2024-06-22 11:14:15,2024-06-22 11:24:15,UberBlack,124.22,2.65,4.88,Completed
60,6918,4802,1099,888,2024-04-10 11:37:18,2024-04-10 12:06:18,UberX,491.68,16.2,4.46,Completed
61,1622,5765,340,8830,2025-05-02 17:34:09,2025-05-02 17:52:09,UberPool,761.19,13.74,4.94,Completed
62,8916,6879,9936,9361,2023-09-14 07:00:28,2023-09-14 07:38:28,UberX,276.25,1.4,3.78,Completed
63,1037,5398,3741,815,2024-02-12 02:15:29,2024-02-12 02:40:29,UberPool,736.9,2.78,3.91,Completed
64,6766,7181,6127,1560,2023-08-15 08:33:57,2023-08-15 08:52:57,UberX,212.0,16.94,3.92,Completed
65,885,7067,4075,9335,2023-09-24 17:36:23,2023-09-24 18:07:23,UberX,697.16,19.88,4.31,Completed
66,2688,9259,9677,7830,2025-04-14 18:50:03,2025-04-14 18:58:03,UberPool,275.77,4.91,4.94,Completed
67,1188,6433,2351,9303,2024-09-17 04:30:26,2024-09-17 05:03:26,UberPool,358.38,3.89,4.92,Cancelled
68,5518,3238,4916,5258,2024-04-23 11:32:28,2024-04-23 12:02:28,UberPool,612.96,14.7,4.98,Completed
69,8449,3253,3133,4984,2023-08-19 18:59:24,2023-08-19 19:39:24,UberBlack,667.33,11.95,4.38,Cancelled
70,1126,3988,2921,828,2024-07-20 11:19:56,2024-07-20 11:26:56,UberPool,439.85,11.96,3.56,Completed
71,2856,488,4583,1704,2024-12-12 14:08:06,2024-12-12 14:41:06,UberPool,74.01,14.61,3.77,Completed
72,4084,7952,3568,1272,2024-08-16 21:15:03,2024-08-16 21:33:03,UberBlack,274.21,3.83,3.59,Cancelled
73,2086,7123,8399,9378,2023-12-29 23:54:14,2023-12-30 00:29:14,UberPool,703.34,4.09,3.61,Completed
74,9943,7593,4823,2312,2023-08-29 04:39:00,2023-08-29 05:23:00,UberX,183.24,16.5,4.24,Completed
75,8914,4382,2186,1326,2024-11-29 08:32:48,2024-11-29 08:58:48,UberPool,720.04,15.57,4.98,Completed
76,9330,7943,6912,3866,2024-05-21 12:30:45,2024-05-21 12:40:45,UberPool,218.68,14.06,4.49,Completed
77,9624,4486,6382,1316,2024-04-26 08:33:29,2024-04-26 09:17:29,UberBlack,725.25,13.23,4.45,Completed
78,6528,6400,2814,7888,2025-01-05 08:31:31,2025-01-05 08:41:31,UberPool,257.26,1.98,4.14,Cancelled
79,7179,8671,8314,7142,2024-11-21 12:11:12,2024-11-21 12:26:12,UberX,676.92,9.39,4.06,Completed
80,1624,7479,7588,2015,2025-02-23 07:26:12,2025-02-23 07:42:12,UberBlack,99.38,11.84,3.79,Completed
81,1465,9890,8072,6221,2024-08-22 03:00:47,2024-08-22 03:35:47,UberPool,50.78,13.1,3.5,Completed
82,9471,7093,6946,2635,2024-07-19 04:30:57,2024-07-19 04:52:57,UberX,279.56,9.41,4.99,Completed
83,1,3236,175,3595,2024-12-05 02:23:47,2024-12-05 03:06:47,UberBlack,458.82,13.11,3.56,No Show
84,7026,4689,5579,9242,2023-11-02 13:58:39,2023-11-02 14:22:39,UberX,603.34,13.52,4.78,Completed
85,9874,4979,8376,7972,2024-02-27 02:16:13,2024-02-27 02:38:13,UberX,501.66,14.28,3.51,Completed
86,2716,2281,6195,9059,2024-01-18 02:15:40,2024-01-18 02:45:40,UberX,425.91,13.32,3.81,Completed
87,8729,7959,6030,4702,2024-12-05 20:08:27,2024-12-05 20:33:27,UberBlack,413.08,18.04,4.83,Completed
88,2386,9496,4271,6858,2025-07-27 22:42:14,2025-07-27 23:05:14,UberBlack,203.84,3.12,3.69,Completed
89,6123,7444,313,4239,2025-04-16 08:52:42,2025-04-16 09:01:42,UberPool,153.59,8.47,4.63,Completed
90,48,6076,9372,4608,2024-12-18 11:39:11,2024-12-18 12:04:11,UberBlack,327.4,13.29,4.17,Completed
91,2489,9306,6946,6913,2025-07-08 04:34:57,2025-07-08 04:50:57,UberBlack,159.12,5.81,4.16,Completed
92,2515,9050,8230,974,2025-01-24 20:49:21,2025-01-24 21:24:21,UberX,771.35,1.93,3.88,Completed
93,7111,8609,4471,1855,2024-07-06 22:13:05,2024-07-06 22:58:05,UberBlack,394.87,5.55,4.4,Completed
94,9902,7752,4008,3668,2024-10-17 00:21:45,2024-10-17 01:05:45,UberX,624.35,10.6,4.59,Completed
95,9113,6948,8395,3445,2025-03-03 17:32:25,2025-03-03 18:12:25,UberPool,589.79,10.92,4.69,Completed
96,2067,8361,7331,3448,2023-10-18 23:46:47,2023-10-19 00:26:47,UberPool,702.91,19.37,3.65,No Show
97,2964,5679,2328,4088,2025-07-21 19:12:16,2025-07-21 19:38:16,UberBlack,77.86,12.46,4.57,Completed
98,8942,7775,8037,3815,2024-07-15 23:33:45,2024-07-16 00:18:45,UberX,319.93,12.02,4.28,Completed
99,4202,8410,9779,6618,2023-09-26 15:56:30,2023-09-26 16:02:30,UberX,550.17,18.65,3.76,Cancelled
100,989,5716,8867,6466,2024-04-11 00:22:17,2024-04-11 00:56:17,UberBlack,165.48,3.93,4.49,Completed
101,1494,8733,927,7365,2024-11-20 05:14:50,2024-11-20 05:44:50,UberBlack,380.28,19.64,4.71,Completed
102,7352,6671,3751,9860,2025-01-07 21:47:46,2025-01-07 22:22:46,UberX,106.43,19.68,3.57,Completed
103,4328,7081,7049,8215,2023-10-11 01:41:09,2023-10-11 02:22:09,UberX,721.02,5.13,4.04,Completed
104,717,4594,6955,2586,2025-04-16 02:30:42,2025-04-16 02:51:42,UberX,155.21,2.05,3.85,Completed
105,7827,9064,8161,3078,2023-11-14 16:49:17,2023-11-14 17:18:17,UberBlack,312.64,11.19,4.67,Completed
106,6794,8764,6447,1329,2023-09-18 15:26:57,2023-09-18 15:44:57,UberPool,155.92,1.41,3.86,Completed
107,2992,7652,4333,7654,2024-03-11 17:53:34,2024-03-11 18:23:34,UberBlack,686.36,11.46,4.21,Completed
108,8621,6406,5289,566,2024-05-25 23:28:34,2024-05-25 23:33:34,UberBlack,398.81,18.65,4.56,Completed
109,5854,8271,8597,136,2024-03-30 16:19:03,2024-03-30 16:25:03,UberBlack,484.21,18.35,4.14,Cancelled
110,2637,9277,4387,5129,2024-03-21 15:07:35,2024-03-21 15:13:35,UberX,747.33,17.55,4.42,Completed
111,3654,7568,5649,9951,2024-03-21 05:12:16,2024-03-21 05:48:16,UberX,331.03,16.89,4.93,Completed
112,4827,6189,9263,6419,2024-06-15 04:43:59,2024-06-15 04:54:59,UberPool,586.86,10.49,4.88,Completed
113,7567,7211,2334,2450,2023-11-13 16:08:38,2023-11-13 16:23:38,UberPool,156.04,6.84,4.86,Completed
114,5327,1338,3965,3883,2024-08-04 12:13:05,2024-08-04 12:20:05,UberPool,57.86,1.21,4.19,Completed
115,7887,948,6873,7707,2024-02-26 03:13:43,2024-02-26 03:45:43,UberX,570.35,17.27,4.54,Cancelled
116,4152,1719,5872,3938,2023-09-27 06:56:07,2023-09-27 07:36:07,UberBlack,333.0,13.87,3.68,Completed
117,2554,1104,615,8159,2024-01-17 10:10:50,2024-01-17 10:36:50,UberX,704.27,1.48,4.42,Completed
118,5734,1279,5996,8680,2025-07-28 03:05:17,2025-07-28 03:32:17,UberX,745.96,17.47,4.84,Completed
119,4247,2322,4197,5224,2025-01-10 21:16:27,2025-01-10 21:43:27,UberPool,757.89,4.47,3.77,Completed
120,5075,8756,4582,1375,2024-11-18 14:16:31,2024-11-18 14:33:31,UberBlack,516.43,11.92,4.48,Cancelled
121,9284,6492,9826,3262,2024-08-16 18:59:07,2024-08-16 19:17:07,UberX,753.32,11.48,3.98,Completed
122,697,9609,7891,218,2025-06-16 22:56:11,2025-06-16 23:23:11,UberBlack,603.51,15.51,4.4,Completed
123,7144,226,3419,6738,2024-03-28 23:57:54,2024-03-29 00:09:54,UberX,538.09,16.35,4.28,Completed
124,8284,657,1853,1047,2024-06-25 09:01:23,2024-06-25 09:35:23,UberX,670.58,14.05,4.37,Completed
125,2416,8647,1135,4513,2024-06-15 18:01:40,2024-06-15 18:26:40,UberPool,149.25,17.89,4.71,Completed
126,9298,9499,6497,2212,2024-11-24 11:17:20,2024-11-24 11:54:20,UberX,482.21,1.14,4.46,Completed
127,5946,904,2368,1225,2024-10-19 07:09:39,2024-10-19 07:46:39,UberPool,319.38,8.28,3.58,Cancelled
128,9382,1703,1573,2454,2025-04-06 23:12:36,2025-04-06 23:43:36,UberBlack,90.03,14.86,4.03,No Show
129,6979,9259,5341,4317,2024-01-31 18:15:49,2024-01-31 18:59:49,UberX,751.81,11.41,3.91,No Show
130,3989,9721,8907,7011,2024-03-28 15:00:03,2024-03-28 15:27:03,UberPool,792.54,2.32,4.66,Cancelled
131,6162,824,4154,8362,2025-02-10 03:27:09,2025-02-10 04:01:09,UberPool,279.54,1.7,4.1,Completed
132,780,456,6088,6431,2024-07-07 07:07:01,2024-07-07 07:12:01,UberPool,488.31,6.17,4.09,Completed
133,1634,192,2270,3624,2025-03-31 08:31:22,2025-03-31 08:57:22,UberPool,89.48,12.94,4.79,Completed
134,5937,888,477,5717,2024-03-25 20:58:38,2024-03-25 21:42:38,UberBlack,65.62,17.2,4.47,Completed
135,5436,6928,7942,8812,2024-11-10 10:39:06,2024-11-10 11:20:06,UberPool,209.57,11.89,4.95,Completed
136,5061,9833,7988,4368,2023-09-20 06:40:06,2023-09-20 06:59:06,UberBlack,396.25,17.02,3.56,Completed
137,1412,2470,9282,6351,2025-04-15 03:40:34,2025-04-15 03:46:34,UberX,494.37,3.62,4.13,Completed
138,1207,8088,5055,3069,2024-05-07 23:19:30,2024-05-07 23:40:30,UberX,556.68,4.2,3.65,Completed
139,825,9506,2143,7158,2025-01-20 14:58:33,2025-01-20 15:29:33,UberX,621.44,5.46,4.18,No Show
140,1843,8998,3592,4085,2024-07-29 06:11:00,2024-07-29 06:16:00,UberBlack,509.05,5.62,5.0,Completed
141,4118,2668,8041,8750,2024-04-05 16:05:07,2024-04-05 16:10:07,UberPool,205.46,5.12,3.79,Cancelled
142,7349,8393,4330,2514,2023-12-10 02:42:15,2023-12-10 03:10:15,UberPool,362.63,19.32,4.86,Completed
143,563,8673,5467,9074,2023-08-07 14:59:27,2023-08-07 15:06:27,UberBlack,73.53,7.85,4.33,Completed
144,8970,3532,1898,5368,2024-07-22 23:11:35,2024-07-22 23:46:35,UberX,674.13,18.34,4.78,Completed
145,5482,8869,7440,8855,2025-06-29 04:18:10,2025-06-29 04:29:10,UberX,469.86,19.27,4.18,No Show
146,1810,4477,4622,8692,2023-12-17 10:39:55,2023-12-17 11:17:55,UberX,703.49,7.6,4.64,Completed
147,4853,1809,4442,7008,2025-03-16 16:39:52,2025-03-16 17:10:52,UberBlack,119.49,13.5,4.01,Completed
148,586,1477,62,6663,2024-04-02 05:34:48,2024-04-02 06:02:48,UberX,361.27,18.3,4.09,Completed
149,4779,5898,5140,5449,2024-10-09 16:47:44,2024-10-09 17:07:44,UberBlack,632.96,14.01,3.83,Cancelled
150,7069,8069,7104,5908,2024-12-22 03:25:59,2024-12-22 04:08:59,UberPool,515.54,12.75,3.57,Completed
151,4617,4506,2176,3818,2024-06-23 07:35:16,2024-06-23 08:15:16,UberPool,126.71,4.44,4.07,No Show
152,5082,8320,1765,8627,2024-01-07 19:48:42,2024-01-07 20:18:42,UberPool,122.52,17.84,4.32,Completed
153,5516,3583,8807,980,2023-10-27 13:11:08,2023-10-27 13:39:08,UberX,613.9,2.65,4.04,Completed
154,3205,1221,5661,7062,2024-12-31 22:19:21,2024-12-31 22:31:21,UberPool,661.42,18.04,3.75,Completed
155,3060,7695,4868,5026,2025-07-11 01:15:07,2025-07-11 01:49:07,UberBlack,783.52,15.99,4.17,Completed
156,1858,3720,7907,6231,2023-09-27 08:04:39,2023-09-27 08:13:39,UberPool,507.61,11.59,4.82,Completed
157,5612,8919,8564,4479,2024-02-06 23:16:27,2024-02-06 23:33:27,UberBlack,140.09,14.4,3.97,Completed
158,4993,8058,248,8647,2024-03-04 22:28:46,2024-03-04 23:01:46,UberPool,280.58,1.52,4.18,Completed
159,9437,2455,6880,1710,2024-01-09 11:53:02,2024-01-09 12:29:02,UberPool,310.41,9.35,4.38,Completed
160,6401,891,2044,8304,2024-01-24 17:35:25,2024-01-24 17:55:25,UberPool,605.58,3.84,3.69,Completed
161,5193,9768,4272,5469,2025-05-17 23:24:03,2025-05-17 23:49:03,UberBlack,108.45,3.39,3.66,Cancelled
162,7152,8377,3882,5100,2024-12-13 14:41:30,2024-12-13 15:21:30,UberX,238.33,19.29,4.77,Completed
163,795,7311,6237,4128,2024-10-14 07:29:10,2024-10-14 08:12:10,UberPool,732.59,6.81,3.82,Completed
164,2937,5692,329,1579,2023-10-17 03:14:55,2023-10-17 03:42:55,UberX,335.88,6.25,4.91,Completed
165,1303,4884,5746,7767,2023-12-30 01:48:51,2023-12-30 02:07:51,UberPool,190.84,18.02,4.28,Completed
166,3289,1391,4377,1175,2023-12-02 04:56:24,2023-12-02 05:41:24,UberX,418.55,1.3,3.51,Completed
167,7977,6087,1674,4901,2023-08-14 05:17:54,2023-08-14 05:44:54,UberBlack,126.25,7.81,3.92,Cancelled
168,5385,5848,8720,3104,2024-12-21 19:06:50,2024-12-21 19:45:50,UberX,414.75,8.29,3.55,Cancelled
169,9762,2876,6457,6986,2023-10-27 07:02:58,2023-10-27 07:11:58,UberBlack,683.68,1.94,3.89,Cancelled
170,1167,8441,6269,8862,2024-07-04 18:29:43,2024-07-04 18:53:43,UberPool,447.1,14.56,4.97,Completed
171,9759,397,9899,516,2023-08-23 05:55:01,2023-08-23 06:29:01,UberPool,746.04,14.75,4.08,Completed
172,3892,53,359,113,2024-08-09 10:03:44,2024-08-09 10:32:44,UberPool,553.68,7.79,4.59,Completed
173,8438,773,1371,8410,2024-05-28 15:55:25,2024-05-28 16:30:25,UberX,223.08,1.54,4.24,Completed
174,2305,3896,7488,3004,2023-11-27 11:47:49,2023-11-27 12:02:49,UberPool,205.05,5.22,4.14,Cancelled
175,4286,942,3401,2395,2024-05-30 11:09:37,2024-05-30 11:38:37,UberPool,717.95,12.12,3.89,Completed
176,5389,3468,2308,2692,2024-04-25 05:32:37,2024-04-25 06:03:37,UberBlack,618.22,18.31,3.89,Completed
177,3402,5613,9230,7672,2023-08-28 21:22:04,2023-08-28 21:39:04,UberPool,626.65,2.83,4.52,Completed
178,7192,9612,4850,2377,2024-07-02 00:34:37,2024-07-02 01:05:37,UberPool,94.43,16.66,4.57,Completed
179,2573,7413,7653,4183,2024-04-04 06:12:55,2024-04-04 06:17:55,UberX,575.49,5.91,4.55,Completed
180,4783,6264,1494,1129,2025-05-31 19:16:33,2025-05-31 19:59:33,UberX,511.2,14.32,4.15,Completed
181,2574,802,5910,4728,2025-04-16 23:46:17,2025-04-17 00:02:17,UberX,371.01,8.84,4.31,Completed
182,2726,3001,3103,8531,2025-06-06 04:54:31,2025-06-06 05:15:31,UberPool,202.73,12.58,4.42,Completed
183,5239,9763,9391,4926,2025-07-31 20:55:01,2025-07-31 21:23:01,UberBlack,707.01,11.74,3.73,Completed
184,4567,7814,7965,5277,2025-03-13 01:29:34,2025-03-13 01:45:34,UberBlack,497.37,9.46,4.03,Completed
185,2653,1635,8437,8407,2025-02-23 23:37:58,2025-02-24 00:21:58,UberPool,553.46,4.84,3.78,Completed
186,5720,6851,7440,955,2023-08-27 12:46:48,2023-08-27 13:04:48,UberX,110.21,2.49,3.69,Completed
187,8512,3686,8078,5840,2024-01-19 04:11:32,2024-01-19 04:29:32,UberBlack,530.75,15.92,3.77,Completed
188,3502,8336,5502,4728,2025-06-27 18:28:02,2025-06-27 18:54:02,UberPool,615.89,6.48,4.26,Completed
189,7056,3787,8526,3281,2024-06-16 16:39:12,2024-06-16 17:19:12,UberPool,569.85,3.86,4.8,Completed
190,5623,3175,4078,5565,2024-09-28 15:08:47,2024-09-28 15:24:47,UberPool,773.35,2.2,3.79,No Show
191,6968,6167,349,7087,2024-03-23 22:15:14,2024-03-23 22:54:14,UberBlack,592.82,11.74,4.57,No Show
192,7799,4173,1672,5865,2023-08-05 14:08:04,2023-08-05 14:43:04,UberPool,634.64,17.94,3.53,Completed
193,651,1216,3496,332,2025-02-22 06:34:09,2025-02-22 06:49:09,UberX,184.63,14.6,3.81,Completed
194,1810,5914,2931,1582,2024-06-14 23:10:36,2024-06-14 23:41:36,UberX,497.23,3.59,3.73,Completed
195,1660,4235,4289,2074,2025-04-15 17:07:49,2025-04-15 17:22:49,UberX,356.96,12.93,4.12,No Show
196,1914,2025,4833,4327,2024-11-05 17:19:38,2024-11-05 17:44:38,UberPool,202.18,3.02,4.47,Completed
197,6534,1984,8004,8906,2024-07-20 02:23:39,2024-07-20 02:56:39,UberBlack,420.31,16.39,4.65,No Show
198,5820,1984,9921,1646,2023-12-08 09:25:47,2023-12-08 09:43:47,UberBlack,183.96,6.67,3.79,Completed
199,3090,6356,5533,5822,2023-12-05 23:21:28,2023-12-05 23:43:28,UberBlack,360.89,1.77,3.79,Completed
200,3070,9176,1419,576,2024-05-08 05:39:23,2024-05-08 06:05:23,UberBlack,383.32,9.64,3.76,Completed
201,5842,1595,4806,5583,2025-01-13 18:01:14,2025-01-13 18:27:14,UberBlack,153.23,14.86,4.16,Completed
202,102,6178,2985,3527,2024-07-29 19:43:31,2024-07-29 20:09:31,UberX,372.13,19.76,4.37,Completed
203,8781,9998,7104,8337,2023-12-28 18:44:09,2023-12-28 19:27:09,UberBlack,783.66,14.76,3.52,Completed
204,8179,7059,9323,6423,2024-02-12 05:02:29,2024-02-12 05:43:29,UberBlack,478.57,5.13,4.29,Completed
205,2074,9294,9309,4758,2024-12-15 04:43:16,2024-12-15 05:23:16,UberBlack,777.52,9.74,4.08,Completed
206,9839,1319,144,592,2023-09-27 04:00:53,2023-09-27 04:14:53,UberPool,266.8,7.4,4.24,Cancelled
207,6596,8455,3568,7424,2023-11-11 12:18:33,2023-11-11 12:36:33,UberX,299.93,4.15,4.21,Completed
208,9931,9703,6584,6692,2023-10-28 17:15:45,2023-10-28 17:47:45,UberBlack,426.22,8.01,4.31,Completed
209,1184,3498,1457,6312,2023-09-03 07:19:34,2023-09-03 07:34:34,UberX,735.33,14.54,4.54,Completed
210,4997,1335,4147,7564,2024-07-20 12:59:38,2024-07-20 13:17:38,UberPool,640.3,14.95,4.53,Completed
211,1329,3309,299,5570,2023-12-26 06:52:53,2023-12-26 07:19:53,UberX,379.21,13.6,4.9,Completed
212,7646,2328,5416,9393,2025-03-13 07:16:03,2025-03-13 07:47:03,UberBlack,81.12,11.37,4.37,Completed
213,7500,6212,9960,3098,2024-05-25 03:24:45,2024-05-25 03:50:45,UberPool,700.74,4.87,4.85,Completed
214,9328,4293,4531,5463,2025-03-25 00:15:47,2025-03-25 00:30:47,UberX,606.34,7.57,4.8,Cancelled
215,752,7015,6952,2277,2025-04-23 05:38:49,2025-04-23 05:43:49,UberBlack,617.45,3.04,3.57,Completed
216,9592,9384,1892,5194,2025-05-08 07:06:03,2025-05-08 07:18:03,UberPool,648.63,15.16,3.94,Completed
217,9193,946,5713,234,2024-03-30 07:29:46,2024-03-30 07:39:46,UberBlack,578.03,6.06,4.44,Completed
218,6680,9828,3591,6794,2023-11-30 16:01:55,2023-11-30 16:22:55,UberX,104.12,4.26,4.12,Completed
219,4371,5235,3592,9420,2024-08-20 00:09:43,2024-08-20 00:25:43,UberX,264.04,12.39,4.59,Completed
220,2124,4725,4154,429,2023-12-28 09:51:30,2023-12-28 10:30:30,UberPool,765.77,6.38,4.44,Completed
221,9386,3867,6557,8650,2024-04-12 09:04:38,2024-04-12 09:30:38,UberX,613.6,9.59,4.72,No Show
222,2893,8187,314,9313,2023-09-24 00:04:13,2023-09-24 00:15:13,UberBlack,461.06,2.94,3.73,Completed
223,6486,6231,2015,4255,2024-06-10 11:09:18,2024-06-10 11:24:18,UberBlack,634.51,1.74,4.71,Completed
224,9987,143,7669,9617,2023-09-04 06:31:55,2023-09-04 06:36:55,UberBlack,505.55,5.69,4.8,Completed
225,1318,5202,1226,7688,2025-03-26 06:40:14,2025-03-26 07:06:14,UberX,537.04,3.23,3.58,Completed
226,3322,5704,3920,8174,2025-01-15 00:04:20,2025-01-15 00:47:20,UberBlack,405.47,8.4,3.96,Completed
227,7932,7573,5663,9017,2024-11-09 16:41:25,2024-11-09 17:15:25,UberPool,185.05,4.77,3.63,Completed
228,5316,1824,3776,3935,2025-04-28 13:34:29,2025-04-28 13:53:29,UberX,68.61,18.57,3.78,No Show
