performance_id,driver_id,trip_count,average_rating,cancellation_rate,complaints_count,created_at
135,135,504,4.35,0.07,14,21-11-2024 19.43
138,138,395,4.94,0.04,20,09-04-2025 6.28
139,139,294,4.55,0.14,7,28-05-2025 9.25
142,142,933,4.57,0.12,17,26-05-2025 10.34
143,143,979,4.6,0.07,10,24-04-2025 9.16
144,144,625,3.84,0.04,17,01-06-2025 4.52
148,148,981,4.57,0.14,13,22-08-2024 20.10
149,149,411,4.6,0.03,20,04-01-2025 10.37
151,151,399,4.47,0.05,7,22-02-2025 11.29
152,152,216,3.86,0.1,2,28-05-2025 14.49
153,153,695,4.66,0.06,18,10-12-2024 4.01
155,155,269,4.72,0.12,20,05-03-2025 2.52
159,159,456,4.82,0.09,17,08-08-2024 10.24
162,162,598,4.49,0.11,3,13-07-2025 23.18
164,164,271,3.99,0.08,6,19-04-2025 2.31
166,166,185,4.7,0.08,11,06-04-2025 17.59
167,167,981,4.84,0.09,6,31-12-2024 16.10
168,168,210,4.51,0.12,6,18-06-2025 23.44
169,169,877,4.05,0,1,30-04-2025 22.31
175,175,510,4.22,0.02,9,24-03-2025 7.35
179,179,907,4.81,0.07,2,08-07-2025 16.14
183,183,672,4.4,0.09,3,11-03-2025 4.42
186,186,139,4.71,0.11,14,26-05-2025 3.27
187,187,376,4.9,0.03,0,16-11-2024 16.21
189,189,664,3.84,0.06,14,04-11-2024 14.59
192,192,753,4.84,0.05,15,24-07-2025 19.33
193,193,937,4.43,0.05,15,29-11-2024 5.53
194,194,729,4.2,0.07,6,09-04-2025 19.58
195,195,180,4.64,0.01,0,20-03-2025 22.34
196,196,894,4.96,0.01,14,08-07-2025 12.04
199,199,482,4.18,0.14,19,09-07-2025 14.43
201,201,237,4.76,0.09,1,23-12-2024 12.11
202,202,617,4.52,0.06,15,26-03-2025 18.52
208,208,936,4.69,0.14,1,02-07-2025 16.29
209,209,149,4.92,0.07,17,08-02-2025 13.23
211,211,291,3.85,0.01,9,24-03-2025 5.52
212,212,361,4.07,0.14,19,20-12-2024 13.17
213,213,419,4.25,0.02,19,21-02-2025 9.23
215,215,103,4.61,0.03,20,30-05-2025 9.29
217,217,433,3.91,0.04,12,08-10-2024 15.07
219,219,388,4.27,0.06,6,23-04-2025 17.54
220,220,316,4.15,0.1,16,26-06-2025 22.10
221,221,446,4.08,0.03,4,06-11-2024 5.39
222,222,521,3.91,0.11,12,02-10-2024 3.46
224,224,581,3.81,0.02,20,20-06-2025 23.13
226,226,981,4.72,0.04,3,28-11-2024 12.35
231,231,828,3.86,0.01,6,03-02-2025 9.42
232,232,105,4.97,0.13,14,31-08-2024 13.47
234,234,308,4.86,0.05,3,09-09-2024 18.41
237,237,415,4.5,0.04,20,29-07-2025 17.06
239,239,861,4.74,0.04,14,18-11-2024 10.26
241,241,750,4.16,0.09,17,21-01-2025 9.21
242,242,195,3.83,0.1,3,22-09-2024 15.40
243,243,139,4.32,0.15,1,06-04-2025 20.26
244,244,437,3.84,0.02,4,20-06-2025 22.46
245,245,272,4.25,0.1,8,24-06-2025 2.09
246,246,380,4.24,0.09,15,25-01-2025 9.49
247,247,908,4.01,0.09,11,05-02-2025 2.35
248,248,935,4.53,0.04,9,29-09-2024 21.49
249,249,342,4.85,0.1,10,23-06-2025 11.38
250,250,337,4.36,0.1,11,04-08-2025 23.08
253,253,927,4.21,0.11,3,05-08-2024 3.00
256,256,607,3.99,0.07,1,04-03-2025 20.23
258,258,990,4.64,0.01,17,23-04-2025 12.16
259,259,846,4.31,0.13,1,24-08-2024 12.28
260,260,808,3.82,0.01,15,29-01-2025 16.06
262,262,223,4.76,0.07,9,13-04-2025 11.50
264,264,704,4.54,0.13,6,22-03-2025 11.39
266,266,677,4.62,0.06,9,14-06-2025 20.18
267,267,745,4.23,0.14,1,28-11-2024 7.51
270,270,583,4.47,0.13,1,05-03-2025 4.42
272,272,204,3.92,0.1,17,10-06-2025 14.49
277,277,821,4.45,0.08,5,20-10-2024 8.05
278,278,680,4.62,0.05,1,06-12-2024 20.44
280,280,167,4.39,0.01,5,26-12-2024 7.47
282,282,668,4.03,0,13,18-10-2024 21.54
283,283,250,4.84,0.04,3,04-03-2025 23.54
284,284,133,4.88,0.05,5,04-09-2024 7.33
293,293,181,4.26,0.04,9,10-08-2024 12.34
295,295,708,3.98,0.14,0,05-01-2025 5.34
298,298,751,4.35,0.07,20,19-01-2025 9.12
300,300,407,4.81,0.14,9,20-07-2025 10.19
303,303,113,4.28,0.13,5,05-01-2025 15.44
306,306,295,4.42,0.08,9,07-09-2024 8.05
308,308,312,4.26,0.03,13,12-10-2024 16.49
309,309,290,4.25,0.1,10,07-03-2025 23.25
311,311,704,4.07,0.13,15,07-06-2025 22.56
314,314,886,4.27,0.13,8,14-09-2024 10.37
315,315,836,4.28,0.05,8,06-07-2025 3.48
316,316,477,3.96,0.08,11,30-12-2024 5.57
317,317,583,4.51,0.01,12,19-11-2024 23.59
319,319,644,4.05,0.06,17,21-09-2024 7.16
321,321,244,3.84,0.1,2,29-10-2024 22.54
323,323,761,4.7,0.07,5,15-10-2024 6.07
324,324,965,4.66,0.14,4,08-07-2025 21.00
325,325,154,4.07,0.05,1,01-05-2025 15.26
326,326,392,4.58,0.03,8,20-07-2025 17.21
327,327,747,3.92,0.1,15,15-08-2024 9.05
331,331,395,3.95,0.15,0,13-03-2025 7.42
333,333,511,4.11,0.12,12,02-05-2025 7.56
335,335,423,4.11,0.08,6,26-04-2025 6.22
336,336,379,4.95,0.11,9,15-06-2025 17.28
337,337,188,4.86,0.03,2,05-01-2025 22.10
338,338,463,4.64,0.15,3,23-10-2024 5.33
339,339,243,3.98,0.11,10,07-07-2025 1.01
340,340,253,4.76,0.12,4,18-07-2025 14.50
341,341,291,4.67,0.04,13,07-04-2025 15.33
342,342,121,4.55,0.02,18,03-06-2025 3.06
348,348,244,4,0.05,15,07-12-2024 2.27
349,349,862,4.36,0.01,14,03-03-2025 21.46
356,356,398,4.75,0.04,5,18-06-2025 6.17
357,357,602,4.89,0.03,6,29-04-2025 0.03
359,359,661,4.94,0.03,8,28-05-2025 3.16
360,360,704,4.44,0.11,12,29-01-2025 0.06
361,361,205,4.39,0.1,9,29-05-2025 14.53
363,363,874,4.9,0.11,20,16-03-2025 0.16
365,365,819,4.66,0.07,16,03-10-2024 1.49
368,368,853,4.75,0.13,11,24-06-2025 3.25
370,370,988,4.86,0.07,19,02-09-2024 8.34
372,372,704,4.36,0.02,11,29-09-2024 5.07
373,373,373,3.83,0.04,12,01-04-2025 16.36
374,374,773,4.98,0.12,19,10-12-2024 12.24
382,382,241,4.61,0.1,13,31-03-2025 12.10
383,383,559,4.49,0.04,7,07-09-2024 19.32
385,385,535,4.72,0.06,20,16-01-2025 23.28
386,386,233,3.95,0.1,10,10-08-2024 6.05
391,391,970,3.94,0.1,6,25-06-2025 13.03
394,394,346,3.95,0.02,1,03-11-2024 18.14
396,396,403,4.03,0.14,4,25-06-2025 8.02
397,397,412,4.7,0.13,19,13-07-2025 11.32
398,398,381,4.91,0.14,20,13-03-2025 12.57
401,401,493,4.78,0.03,18,24-03-2025 0.57
402,402,897,4.33,0.01,18,04-08-2025 18.10
406,406,600,4.73,0.02,12,05-03-2025 19.49
407,407,690,4.85,0.02,0,16-06-2025 22.09
409,409,569,4.04,0.03,12,23-03-2025 16.04
411,411,189,4.08,0.07,12,20-04-2025 7.30
412,412,754,4.22,0.09,9,04-03-2025 0.01
414,414,406,4.24,0.14,2,23-03-2025 20.55
415,415,516,4.14,0,8,01-07-2025 18.40
416,416,444,4.01,0.02,20,15-08-2024 10.16
419,419,599,4.97,0.02,5,23-12-2024 19.47
422,422,432,4.98,0.03,7,11-04-2025 13.12
424,424,724,4.76,0.1,15,08-10-2024 3.46
425,425,705,4.47,0.03,8,13-09-2024 1.23
428,428,841,4.76,0.13,17,14-12-2024 1.33
431,431,425,4.27,0.04,2,25-09-2024 16.22
433,433,647,4.21,0,10,27-12-2024 6.59
435,435,576,4.06,0.09,18,12-05-2025 15.02
437,437,564,4.31,0.03,1,11-07-2025 4.00
438,438,589,3.83,0.05,10,05-02-2025 4.31
439,439,896,4.5,0.05,4,11-07-2025 15.00
444,444,851,4.96,0.1,14,03-07-2025 14.23
445,445,158,4.61,0.09,9,27-11-2024 23.21
446,446,331,4.45,0.13,1,17-09-2024 9.43
447,447,396,4.26,0.06,2,30-03-2025 11.33
448,448,848,4.98,0.03,4,14-10-2024 18.46
449,449,138,4.66,0.14,0,02-10-2024 6.26
450,450,776,4.37,0.03,19,15-07-2025 2.09
451,451,359,4.98,0.1,0,05-06-2025 9.04
452,452,256,4.48,0.07,12,31-05-2025 5.40
453,453,688,4.53,0.01,5,20-07-2025 9.17
455,455,950,3.86,0.09,5,17-03-2025 19.20
456,456,738,4.38,0.1,20,05-09-2024 13.23
457,457,869,4.12,0.13,10,04-12-2024 16.14
458,458,834,4.44,0.01,2,20-10-2024 0.33
461,461,779,4.84,0.15,3,09-06-2025 12.41
462,462,522,4.71,0.01,13,16-11-2024 11.29
463,463,381,4.81,0.01,12,04-04-2025 13.35
466,466,337,4.98,0.03,11,20-01-2025 7.07
467,467,213,4.27,0.06,14,06-09-2024 19.14
469,469,835,4.26,0.1,16,31-03-2025 6.18
470,470,743,3.83,0.08,18,07-09-2024 17.06
474,474,963,4.23,0.03,17,23-03-2025 12.22
478,478,793,4.23,0.08,17,09-06-2025 9.20
479,479,216,4.35,0.05,4,01-03-2025 6.12
480,480,223,3.95,0.02,0,27-06-2025 0.17
482,482,675,4.87,0.06,8,26-01-2025 5.15
485,485,121,4.14,0.02,11,25-02-2025 8.32
486,486,875,3.89,0.01,4,29-01-2025 7.40
488,488,203,4.71,0.14,4,21-07-2025 5.33
489,489,262,4,0.03,0,20-07-2025 22.18
491,491,774,4.25,0.03,20,10-12-2024 14.56
493,493,468,4.81,0.1,5,09-03-2025 17.14
494,494,432,4.96,0.15,5,25-09-2024 5.40
495,495,900,4.44,0.08,7,03-08-2025 18.01
496,496,118,4.15,0.05,19,12-06-2025 13.56
497,497,717,4.16,0.08,12,25-01-2025 0.42
499,499,369,4,0.09,19,19-10-2024 5.57
500,500,138,4.53,0.06,19,12-12-2024 18.44
501,501,332,4.03,0.07,0,28-04-2025 17.06
503,503,910,4.19,0.07,9,11-01-2025 19.15
505,505,742,4.54,0.03,15,13-10-2024 9.22
507,507,289,3.8,0.09,11,23-10-2024 7.36
511,511,622,3.89,0.05,7,11-10-2024 4.18
512,512,805,4.58,0.08,1,02-01-2025 14.27
514,514,381,4.42,0.01,14,17-09-2024 6.13
517,517,372,4.34,0.11,11,17-08-2024 7.26
518,518,271,3.93,0.06,6,08-08-2024 15.01
519,519,529,4.66,0.01,16,14-10-2024 9.11
520,520,888,4.45,0.12,3,02-02-2025 21.14
524,524,115,4.85,0.13,15,01-07-2025 8.31
525,525,406,4.36,0.13,12,17-08-2024 7.19
526,526,128,4.02,0.01,12,21-10-2024 19.54
528,528,727,4.43,0.1,5,20-09-2024 23.37
529,529,569,4.39,0.08,10,30-04-2025 3.10
531,531,262,3.8,0.05,16,14-07-2025 23.59
532,532,473,4,0.04,18,01-12-2024 8.12
534,534,634,4.6,0.13,8,24-05-2025 22.49
535,535,706,3.82,0.06,19,29-11-2024 12.15
538,538,253,4.45,0.14,11,22-05-2025 22.21
541,541,419,4.08,0.05,11,05-10-2024 1.17
542,542,292,4.17,0.13,14,16-12-2024 12.37
545,545,473,4.11,0.06,17,28-05-2025 6.01
548,548,760,4.31,0.02,6,06-05-2025 4.31
549,549,178,4.43,0.12,2,16-09-2024 12.22
550,550,414,4.02,0.12,3,26-08-2024 19.47
551,551,894,4.32,0.12,4,18-05-2025 22.05
552,552,509,4.85,0.07,16,16-09-2024 8.14
554,554,499,4.14,0.01,15,23-04-2025 21.20
557,557,280,4.47,0.13,9,07-07-2025 19.04
562,562,974,3.97,0.06,9,07-09-2024 17.37
565,565,228,4.66,0.12,5,22-08-2024 1.02
568,568,456,4.79,0.01,17,16-06-2025 19.25
569,569,499,4.1,0.13,17,26-03-2025 8.47
572,572,249,4.45,0.03,14,25-05-2025 8.07
574,574,854,3.89,0,12,08-08-2024 11.16
575,575,392,4.72,0.06,11,31-05-2025 14.14
578,578,520,4.73,0.06,16,06-08-2024 0.05
580,580,815,4.57,0.07,17,10-07-2025 5.36
581,581,249,4.97,0.02,20,24-12-2024 11.50
582,582,343,3.85,0.08,9,24-10-2024 3.28
584,584,963,4.51,0.11,8,04-04-2025 18.19
587,587,507,4.71,0.05,19,21-07-2025 20.38
588,588,341,4.84,0.09,4,22-01-2025 13.31
589,589,104,3.81,0.02,20,23-08-2024 16.58
592,592,888,4.56,0.15,13,12-06-2025 17.52
593,593,645,4.49,0.04,13,18-04-2025 4.17
594,594,855,3.92,0.08,20,22-05-2025 5.44
595,595,641,4.17,0.09,2,12-03-2025 3.00
596,596,856,4.84,0,5,18-02-2025 16.05
597,597,701,4.66,0.06,7,21-04-2025 7.33
598,598,232,4.85,0.12,1,31-12-2024 0.44
599,599,873,4.58,0.11,0,24-04-2025 3.34
605,605,420,4.28,0.05,13,01-08-2025 15.53
606,606,243,3.91,0.04,15,17-04-2025 2.53
607,607,688,4.87,0.07,1,20-09-2024 9.26
608,608,702,3.83,0.11,1,29-05-2025 19.45
609,609,371,4.04,0.08,5,06-02-2025 21.32
612,612,794,4.69,0.01,12,23-09-2024 15.42
614,614,806,4.75,0.08,19,10-05-2025 13.56
615,615,576,4.75,0.13,10,26-03-2025 21.03
618,618,693,4.3,0.01,15,13-10-2024 7.57
620,620,250,4.43,0.12,13,22-07-2025 22.57
621,621,877,4.88,0.12,19,01-06-2025 12.48
623,623,999,4.31,0.09,5,04-03-2025 9.20
627,627,216,4.64,0.12,2,21-02-2025 2.12
628,628,765,3.82,0.04,15,26-10-2024 21.12
629,629,247,4.81,0.08,16,27-09-2024 9.10
630,630,694,4.54,0.1,14,24-09-2024 17.01
634,634,578,4.57,0.08,15,15-04-2025 11.45
635,635,684,4.1,0.14,20,17-03-2025 18.20
636,636,834,4.2,0.05,12,26-02-2025 10.46
637,637,302,4.93,0.06,7,09-11-2024 19.36
639,639,851,4.61,0.12,15,26-05-2025 9.13
640,640,154,4.85,0.06,3,10-02-2025 13.14
641,641,870,4.97,0.06,4,27-11-2024 16.07
642,642,802,4.74,0.11,10,15-01-2025 0.54
647,647,995,5,0.11,19,03-09-2024 22.42
648,648,249,4.98,0.1,1,10-10-2024 14.44
650,650,667,4.58,0.1,15,09-10-2024 17.14
653,653,668,3.81,0.01,0,14-08-2024 7.04
654,654,565,4.11,0.14,16,31-01-2025 0.04
655,655,641,4.77,0.11,13,25-08-2024 13.43
656,656,162,4.44,0.01,3,27-01-2025 14.26
657,657,674,4.14,0.15,19,23-10-2024 8.36
658,658,754,3.97,0.09,13,02-09-2024 1.57
659,659,724,3.91,0,5,30-07-2025 20.31
660,660,141,4.89,0.11,15,03-04-2025 13.40
661,661,540,4.79,0.08,5,10-02-2025 13.59
662,662,844,4.83,0.03,11,29-08-2024 21.47
663,663,102,4.37,0.12,9,06-02-2025 12.03
666,666,116,4.66,0.08,8,08-12-2024 11.48
667,667,678,4.82,0.03,20,05-05-2025 15.55
669,669,997,4.67,0.03,2,01-02-2025 21.05
674,674,149,4.82,0.11,13,05-01-2025 22.39
680,680,550,4.11,0.07,12,14-10-2024 19.03
681,681,631,4.48,0.04,12,20-02-2025 17.32
682,682,279,4.69,0.12,1,27-10-2024 14.42
685,685,788,4.11,0.02,6,22-01-2025 9.53
686,686,792,4.29,0.03,2,27-03-2025 10.06
689,689,272,4.29,0.11,15,07-07-2025 12.42
691,691,613,4.61,0.04,17,29-12-2024 17.15
693,693,428,3.84,0.07,3,13-02-2025 2.23
696,696,860,3.91,0.03,12,22-12-2024 21.00
698,698,546,4.18,0.15,9,28-07-2025 23.44
699,699,629,3.89,0.09,15,18-07-2025 9.08
702,702,582,4.34,0.13,5,30-12-2024 22.05
704,704,415,4.31,0.08,3,07-01-2025 2.34
705,705,379,4.87,0.13,18,29-10-2024 9.58
706,706,493,4.44,0.09,18,04-05-2025 4.18
710,710,795,3.94,0.1,2,28-01-2025 7.51
711,711,230,4.5,0.09,0,05-01-2025 3.57
715,715,170,3.82,0.11,11,04-11-2024 8.55
718,718,975,4.17,0.12,5,17-05-2025 2.46
721,721,856,4.77,0.13,2,03-07-2025 19.51
722,722,932,3.9,0.04,10,26-01-2025 23.32
724,724,360,4.72,0.13,16,21-10-2024 10.21
731,731,242,4.53,0.07,19,04-06-2025 2.32
735,735,704,4.62,0.13,2,19-10-2024 11.33
736,736,446,4.48,0.14,15,09-07-2025 21.05
737,737,906,3.94,0.01,4,12-06-2025 12.39
739,739,351,3.96,0.15,12,01-07-2025 9.49
740,740,256,3.85,0.08,13,12-12-2024 17.11
741,741,938,4.51,0.12,1,11-11-2024 10.06
742,742,938,3.86,0.1,14,23-07-2025 14.06
743,743,235,4.91,0,12,01-02-2025 9.12
747,747,347,3.81,0.06,16,28-09-2024 18.25
751,751,242,4.39,0.13,6,28-05-2025 2.39
754,754,241,4.03,0.02,6,17-05-2025 13.37
757,757,331,4.75,0.02,15,20-11-2024 23.36
758,758,610,4.94,0.04,19,16-08-2024 16.47
759,759,936,4.54,0.01,10,30-08-2024 12.59
764,764,652,4.37,0.08,4,25-02-2025 4.54
765,765,418,4.75,0.04,16,25-03-2025 11.49
769,769,896,4.38,0.12,19,30-08-2024 16.16
770,770,142,4.94,0.06,10,22-12-2024 23.18
771,771,276,4.47,0.02,17,03-04-2025 22.58
773,773,602,5,0.15,0,07-05-2025 15.04
775,775,128,4.08,0.01,3,01-04-2025 21.56
778,778,786,4.63,0.11,20,12-09-2024 11.08
781,781,316,4.8,0.13,1,08-08-2024 4.05
783,783,842,4.2,0.1,16,09-03-2025 3.52
785,785,415,4.73,0,20,28-04-2025 9.23
786,786,290,3.87,0.12,1,13-12-2024 16.51
787,787,194,4.23,0.13,10,13-01-2025 6.53
788,788,470,4.07,0.05,9,21-05-2025 15.38
789,789,593,4.15,0.14,12,22-05-2025 17.35
791,791,583,4.14,0.14,2,23-07-2025 14.17
793,793,949,4.28,0.09,18,08-04-2025 13.43
794,794,241,4.71,0,4,28-02-2025 10.46
800,800,409,4.33,0.05,5,01-06-2025 23.36
801,801,751,3.99,0.12,10,21-02-2025 2.21
802,802,589,4.8,0.12,18,30-12-2024 23.48
804,804,696,4.63,0.09,20,28-07-2025 0.44
806,806,101,4.97,0.08,13,17-09-2024 19.04
807,807,947,4.99,0.09,16,10-12-2024 20.31
808,808,577,4.07,0.07,6,25-06-2025 5.10
809,809,389,3.93,0.13,19,02-08-2025 5.40
811,811,356,4.19,0.03,3,26-12-2024 16.50
812,812,248,4.35,0.04,1,26-12-2024 6.43
813,813,797,4.68,0.1,5,10-06-2025 4.09
814,814,878,4.5,0.08,3,18-10-2024 21.20
816,816,448,3.94,0.08,11,05-12-2024 13.11
818,818,499,4.05,0.04,11,02-08-2025 16.54
819,819,474,4.82,0.15,13,03-09-2024 4.43
820,820,487,3.86,0.1,3,22-05-2025 8.53
821,821,682,4.13,0.03,20,04-11-2024 22.48
822,822,874,3.9,0.14,17,08-12-2024 11.16
823,823,794,4.9,0.07,14,24-04-2025 9.39
824,824,845,4.48,0.05,20,15-05-2025 8.47
826,826,278,4.96,0.13,13,14-03-2025 12.44
829,829,879,3.93,0.05,0,07-10-2024 11.17
832,832,369,4.6,0.13,6,10-07-2025 9.26
835,835,697,4.78,0.11,7,11-07-2025 10.19
836,836,178,4.43,0.03,8,27-08-2024 23.03
838,838,452,4.94,0.06,14,30-01-2025 12.21
839,839,778,4.47,0,12,05-01-2025 17.48
842,842,927,4.29,0.07,10,12-01-2025 17.34
843,843,450,4.89,0.01,5,10-02-2025 0.05
845,845,911,4.63,0.02,18,23-03-2025 11.15
847,847,242,4.83,0.01,1,22-02-2025 21.15
852,852,642,4.14,0.03,10,01-05-2025 2.57
853,853,199,4.86,0.06,3,23-02-2025 10.07
855,855,787,4.63,0.08,18,04-04-2025 6.45
860,860,961,4.92,0.12,17,16-07-2025 18.50
863,863,413,4.2,0.05,6,22-03-2025 15.40
864,864,193,4.36,0.14,20,12-07-2025 18.27
866,866,733,3.92,0.05,10,10-01-2025 4.33
867,867,347,3.99,0.12,18,18-02-2025 2.37
868,868,668,4.38,0.05,14,12-11-2024 9.19
870,870,901,4.53,0.01,12,25-09-2024 10.24
874,874,324,3.91,0.09,3,15-06-2025 11.29
875,875,445,3.86,0.13,18,12-07-2025 21.35
876,876,328,4.99,0.04,0,12-02-2025 17.43
877,877,528,4.18,0.02,8,10-12-2024 11.49
878,878,952,4.94,0.02,8,22-05-2025 11.11
879,879,324,4.42,0.15,13,27-07-2025 13.57
883,883,431,3.87,0.13,17,09-03-2025 14.37
886,886,955,4.99,0.06,10,06-06-2025 19.33
887,887,604,3.83,0.03,12,26-11-2024 11.39
888,888,515,4.18,0.02,0,24-04-2025 4.25
889,889,776,4.72,0.04,19,06-04-2025 22.52
890,890,711,4.63,0.13,18,02-01-2025 13.31
891,891,333,4.93,0,10,02-06-2025 5.44
892,892,995,4.65,0,1,04-01-2025 6.54
894,894,508,4.48,0.1,10,08-04-2025 4.56
895,895,297,4.76,0.14,5,23-09-2024 8.13
898,898,157,4.04,0.03,12,20-10-2024 9.02
899,899,825,3.85,0.06,0,30-11-2024 19.41
900,900,648,3.97,0.05,5,16-11-2024 6.57
904,904,681,4.24,0.06,17,25-03-2025 7.23
907,907,487,4.35,0.11,16,05-01-2025 2.50
909,909,310,4.93,0.08,19,13-06-2025 2.37
910,910,621,4.24,0.08,4,16-07-2025 17.00
912,912,457,4.96,0.08,14,14-10-2024 14.11
913,913,304,4.14,0.11,17,25-09-2024 14.40
915,915,305,4.41,0.09,4,30-01-2025 12.59
916,916,612,4.82,0.12,15,04-03-2025 7.07
918,918,625,3.85,0.05,15,03-02-2025 18.18
920,920,144,4.94,0.12,6,02-01-2025 7.29
921,921,284,4.94,0.06,3,04-07-2025 12.28
923,923,480,3.97,0.13,5,05-09-2024 16.54
924,924,241,4.72,0.01,7,31-05-2025 20.17
925,925,423,3.92,0.14,9,23-02-2025 1.01
929,929,104,3.9,0.15,8,03-05-2025 1.31
930,930,220,4.16,0.06,5,07-02-2025 17.00
931,931,553,4.09,0.01,8,07-08-2024 12.40
932,932,123,4.96,0.02,10,19-12-2024 2.00
934,934,929,3.84,0.03,10,06-02-2025 3.09
935,935,929,4.96,0.06,6,16-08-2024 12.52
936,936,118,4.49,0.12,9,24-02-2025 15.01
938,938,970,4.19,0.01,2,17-07-2025 17.27
941,941,110,4.42,0.1,16,20-09-2024 10.53
942,942,701,4.59,0,7,28-08-2024 11.45
944,944,486,4.45,0.06,9,17-03-2025 19.53
945,945,414,4.3,0.15,13,03-09-2024 0.17
946,946,622,3.9,0.09,19,24-10-2024 10.03
947,947,320,4.57,0.1,10,30-11-2024 12.08
948,948,166,4.88,0.11,19,07-06-2025 8.46
950,950,525,4.44,0.01,6,21-10-2024 3.42
951,951,588,4.78,0.11,10,14-06-2025 13.42
952,952,151,4.51,0.01,5,30-11-2024 15.35
953,953,810,4.2,0.01,8,29-09-2024 9.43
955,955,829,4.46,0.1,17,19-03-2025 23.54
956,956,333,4.87,0.01,12,14-01-2025 9.25
960,960,951,3.93,0.04,15,14-01-2025 21.07
963,963,529,4.91,0.02,8,03-12-2024 0.46
966,966,105,4.33,0.04,0,26-10-2024 1.59
967,967,321,4.94,0.13,5,10-09-2024 9.38
969,969,948,3.98,0.07,11,03-10-2024 9.31
970,970,831,4.21,0.1,7,19-09-2024 5.36
971,971,664,4.29,0.07,19,16-02-2025 5.46
973,973,437,4.94,0.06,5,10-04-2025 5.48
974,974,458,4.36,0.14,12,04-03-2025 0.05
976,976,967,4.87,0.02,6,08-12-2024 14.21
977,977,494,4.98,0.05,20,17-09-2024 10.35
978,978,534,4.23,0.1,19,25-02-2025 13.54
980,980,114,4.37,0.06,15,02-10-2024 22.00
981,981,358,4.56,0.07,6,07-09-2024 14.00
982,982,316,4.39,0.06,20,19-05-2025 13.54
983,983,476,4.94,0.08,18,16-04-2025 19.14
984,984,664,4.11,0.15,9,08-01-2025 15.48
985,985,680,4.47,0.12,2,15-11-2024 13.16
987,987,180,4.82,0.04,15,29-05-2025 11.24
988,988,948,4.18,0.02,10,30-09-2024 21.24
