surge_id,start_time,end_time,surge_multiplier,location_id,created_at
66,2024-09-08 09:52:33,2024-09-08 13:52:33,2.43,4897,2024-09-08 12:32:58
67,2024-09-03 21:17:31,2024-09-03 23:17:31,2.18,4923,2024-09-03 23:06:24
68,2024-10-28 01:36:36,2024-10-28 07:36:36,1.67,4677,2024-10-28 04:25:25
69,2025-04-26 06:19:33,2025-04-26 10:19:33,2.95,9486,2025-04-26 07:23:03
70,2024-09-19 18:13:44,2024-09-19 19:13:44,1.47,5713,2024-09-19 18:43:06
71,2025-07-29 16:53:01,2025-07-29 20:53:01,2.34,992,2025-07-29 19:37:10
72,2024-09-19 07:27:29,2024-09-19 10:27:29,1.63,6999,2024-09-19 09:38:28
73,2025-06-11 13:57:07,2025-06-11 16:57:07,2.38,5011,2025-06-11 14:56:28
74,2024-10-17 19:24:58,2024-10-17 23:24:58,2.99,9796,2024-10-17 22:04:56
75,2025-07-14 01:01:04,2025-07-14 03:01:04,2.4,8302,2025-07-14 02:14:07
76,2025-02-27 18:27:24,2025-02-27 19:27:24,2.44,7944,2025-02-27 18:43:39
77,2024-10-08 09:54:21,2024-10-08 10:54:21,2.18,3515,2024-10-08 10:17:54
78,2024-12-07 12:55:26,2024-12-07 18:55:26,2.59,5360,2024-12-07 13:24:39
79,2024-09-12 21:24:43,2024-09-13 00:24:43,2.86,858,2024-09-12 21:45:20
80,2025-03-07 02:18:15,2025-03-07 07:18:15,2.17,4640,2025-03-07 05:39:49
81,2024-10-03 16:04:38,2024-10-03 21:04:38,2.61,1889,2024-10-03 21:02:16
82,2025-01-27 22:00:53,2025-01-27 23:00:53,1.64,4134,2025-01-27 22:55:31
83,2025-02-10 06:34:45,2025-02-10 07:34:45,2.11,5207,2025-02-10 07:01:21
84,2025-04-22 19:06:34,2025-04-23 00:06:34,2.54,5927,2025-04-22 21:15:02
85,2025-02-15 11:54:27,2025-02-15 17:54:27,1.72,1625,2025-02-15 13:09:02
86,2024-12-11 01:59:33,2024-12-11 02:59:33,1.31,6981,2024-12-11 02:13:19
87,2025-06-17 12:39:18,2025-06-17 17:39:18,2.15,5283,2025-06-17 12:58:10
88,2025-02-03 08:57:29,2025-02-03 14:57:29,2.11,7864,2025-02-03 13:12:21
89,2025-04-26 14:05:57,2025-04-26 19:05:57,2.03,9426,2025-04-26 17:58:18
90,2024-08-05 04:01:09,2024-08-05 05:01:09,2.46,4930,2024-08-05 04:07:49
91,2024-11-01 10:07:32,2024-11-01 12:07:32,2.31,3576,2024-11-01 10:30:28
92,2025-07-16 06:14:24,2025-07-16 12:14:24,1.53,3940,2025-07-16 10:01:26
93,2025-05-13 07:13:16,2025-05-13 10:13:16,1.97,8215,2025-05-13 09:39:41
94,2024-11-18 15:11:57,2024-11-18 18:11:57,2.86,5326,2024-11-18 16:15:35
95,2024-09-15 03:32:27,2024-09-15 04:32:27,1.62,6507,2024-09-15 03:37:50
96,2025-04-04 23:21:03,2025-04-05 00:21:03,2.0,998,2025-04-04 23:39:48
97,2025-03-23 22:12:41,2025-03-24 00:12:41,1.91,3861,2025-03-23 22:14:35
98,2025-06-12 09:49:02,2025-06-12 10:49:02,2.84,72,2025-06-12 10:17:44
99,2025-06-06 08:20:56,2025-06-06 12:20:56,2.12,1969,2025-06-06 08:32:44
100,2024-11-17 04:20:00,2024-11-17 07:20:00,1.21,6510,2024-11-17 06:03:29
